id,size,xpos,ypos,zpos,xsize,ysize,zsize,weightedx,weightedy,weightedz,minaxis,medaxis,majaxis,eccentricity,elongation,orientation,integratedintensty,sigma,seedIntensity,seedScale,minIntensityForeground,maxIntensityForeground,minIntensityBackground,maxIntensityBackground,volumeForeground,volumeBackground,foregroundIntensity,backgroundIntensity,fg/bg ratio,integratedGradientMag
2561,12874,514,765,256,29,31,33,0,0,0,23.3716,24.3368,32.5328,0.278826,1.0413,-2.16776,2029.95,0,0.234267,9,0.105907,0.310701,0.0527223,0.456472,12874,426102,0.157679,0.0969847,1.62581,165.709
2625,10680,495,248,260,32,28,32,0,0,0,19.3894,26.0315,31.8224,0.667239,1.34256,-2.77824,2499.92,0,0.542782,9,0.144099,0.609804,0.0512306,0.616259,10680,428296,0.234074,0.0943908,2.47984,290.877
2689,20772,988,1075,264,34,35,35,0,0,0,29.7299,30.6929,31.2175,0.248526,1.03239,-0.821773,2437.39,0,0.205102,9,0.0608492,0.219145,0,0.327752,20772,418204,0.11734,0.078476,1.49524,168.617
2753,18003,975,731,268,35,31,34,0,0,0,26.2265,30.4821,31.3229,0.509633,1.16226,-3.10059,3124.45,0,0.348558,9,0.0874418,0.376128,0,0.523365,18003,420973,0.173552,0.106256,1.63334,291.57
2817,20242,356,1157,272,35,34,35,0,0,0,29.2505,30.5146,31.3091,0.284845,1.04322,-0.919615,2465.58,0,0.220302,9,0.0608749,0.230769,0,0.296736,20242,355198,0.121805,0.0561204,2.17042,213.608
2881,20575,361,926,277,34,34,35,0,0,0,29.4751,30.7264,31.347,0.28247,1.04245,1.77439,2350.79,0,0.235399,9,0.0575059,0.242934,0,0.360595,20575,418401,0.114255,0.0568216,2.01076,209.598
2945,13959,933,70,281,32,29,33,0,0,0,24.495,25.4413,31.4511,0.270196,1.03863,-1.48842,2099.68,0,0.213358,9,0.100712,0.355811,0.0502019,0.520022,13959,425017,0.150418,0.0955856,1.57365,181.041
3009,10286,954,28,286,31,26,32,0,0,0,19.0435,26.3094,29.336,0.68998,1.38154,0.314265,1738.47,0,0.21935,9,0.110254,0.377311,0.0496618,0.639894,10286,376706,0.169013,0.0967939,1.74611,178.521
3073,8456,1058,1177,292,33,18,32,0,0,0,17.4928,23.4594,31.5642,0.666322,1.34109,2.77206,670.632,0,0.0933056,9,0.0558856,0.218887,0,0.259188,8456,216808,0.0793086,0.0468906,1.69135,44.2067
3137,16861,375,377,293,33,33,33,0,0,0,24.6402,30.9876,31.543,0.606396,1.2576,1.77717,2300.23,0,0.183139,9,0.0688218,0.541779,0,0.538487,16861,422115,0.136423,0.0537234,2.53936,250.556
3201,20009,411,740,298,34,34,35,0,0,0,28.8865,30.5303,31.293,0.323699,1.0569,-2.64646,2871.36,0,0.290615,9,0.0719338,0.325875,0,0.397552,20009,418967,0.143503,0.0877634,1.63511,245.905
3265,13163,578,564,303,33,27,34,0,0,0,21.78,26.9139,31.9757,0.587466,1.23571,-3.03246,2163.98,0,0.260602,9,0.109379,0.332433,0.0528766,0.400021,13163,425813,0.164398,0.0937726,1.75316,169.095
3329,9055,1007,125,307,30,25,31,0,0,0,21.1196,24.0989,26.6098,0.481636,1.14107,-0.680393,1500.56,0,0.300646,9,0.108068,0.464625,0.0487102,0.554047,9055,429921,0.165716,0.0782708,2.11722,166.912
3393,14896,942,209,313,33,28,33,0,0,0,24.6489,27.9862,30.1088,0.473582,1.1354,-0.124176,2109.51,0,0.333642,9,0.0964432,0.352596,0.0504333,0.46465,14896,424080,0.141616,0.102185,1.38588,170.552
3457,19945,437,664,318,34,33,35,0,0,0,29.1736,30.1843,31.1564,0.256607,1.03464,-2.85623,2487.67,0,0.375948,9,0.0630095,0.40825,0,0.538642,19945,419031,0.124726,0.0939724,1.32727,260.898
3521,14706,892,247,323,34,30,33,0,0,0,22.2531,28.6093,33.1254,0.628479,1.28563,0.0360279,2511.01,0,0.271327,9,0.112208,0.40681,0.0536481,0.449682,14706,424270,0.170747,0.100655,1.69636,217.218
3585,17153,998,868,327,35,34,33,0,0,0,25.9148,28.9411,32.2825,0.445194,1.11678,-0.845396,3551.32,0,0.345961,9,0.130417,0.368747,0.0529537,0.376257,17153,421823,0.207038,0.0895598,2.31173,264.896
3649,16761,967,1127,331,35,35,32,0,0,0,26.0121,27.6333,32.7356,0.337488,1.06233,-0.289457,2852.75,0,0.253967,9,0.111643,0.302214,0.051745,0.427385,16761,422215,0.170202,0.0999648,1.70262,205.225
3713,8402,964,438,336,29,23,34,0,0,0,15.6703,24.7384,32.1699,0.773791,1.57868,-3.09036,1544.07,0,0.316154,9,0.120541,0.347247,0.0551912,0.391019,8402,430574,0.183774,0.0879475,2.08959,166.232
3777,15930,930,743,339,32,31,33,0,0,0,26.6109,27.7892,30.1742,0.28811,1.04428,0.784579,2547.19,0,0.226706,9,0.108994,0.29275,0.0574287,0.509683,15930,423046,0.1599,0.10051,1.59089,155.159
